Endpoint                                             Methods                        Rule
---------------------------------------------------  -----------------------------  ---------------------------------------------------------------------------------------
_debug_toolbar.static                                GET, HEAD, OPTIONS             /_debug_toolbar/static/<path:filename>
actionroles.action_view                              OPTIONS, POST                  /admin/actionroles/action/
actionroles.ajax_lookup                              GET, HEAD, OPTIONS             /admin/actionroles/ajax/lookup/
actionroles.ajax_update                              OPTIONS, POST                  /admin/actionroles/ajax/update/
actionroles.create_view                              GET, HEAD, OPTIONS, POST       /admin/actionroles/new/
actionroles.delete_view                              OPTIONS, POST                  /admin/actionroles/delete/
actionroles.details_view                             GET, HEAD, OPTIONS             /admin/actionroles/details/
actionroles.edit_view                                GET, HEAD, OPTIONS, POST       /admin/actionroles/edit/
actionroles.export                                   GET, HEAD, OPTIONS             /admin/actionroles/export/<export_type>/
actionroles.index_view                               GET, HEAD, OPTIONS             /admin/actionroles/
actionsystemroles.action_view                        OPTIONS, POST                  /admin/actionsystemroles/action/
actionsystemroles.ajax_lookup                        GET, HEAD, OPTIONS             /admin/actionsystemroles/ajax/lookup/
actionsystemroles.ajax_update                        OPTIONS, POST                  /admin/actionsystemroles/ajax/update/
actionsystemroles.create_view                        GET, HEAD, OPTIONS, POST       /admin/actionsystemroles/new/
actionsystemroles.delete_view                        OPTIONS, POST                  /admin/actionsystemroles/delete/
actionsystemroles.details_view                       GET, HEAD, OPTIONS             /admin/actionsystemroles/details/
actionsystemroles.edit_view                          GET, HEAD, OPTIONS, POST       /admin/actionsystemroles/edit/
actionsystemroles.export                             GET, HEAD, OPTIONS             /admin/actionsystemroles/export/<export_type>/
actionsystemroles.index_view                         GET, HEAD, OPTIONS             /admin/actionsystemroles/
actionusers.action_view                              OPTIONS, POST                  /admin/actionusers/action/
actionusers.ajax_lookup                              GET, HEAD, OPTIONS             /admin/actionusers/ajax/lookup/
actionusers.ajax_update                              OPTIONS, POST                  /admin/actionusers/ajax/update/
actionusers.create_view                              GET, HEAD, OPTIONS, POST       /admin/actionusers/new/
actionusers.delete_view                              OPTIONS, POST                  /admin/actionusers/delete/
actionusers.details_view                             GET, HEAD, OPTIONS             /admin/actionusers/details/
actionusers.edit_view                                GET, HEAD, OPTIONS, POST       /admin/actionusers/edit/
actionusers.export                                   GET, HEAD, OPTIONS             /admin/actionusers/export/<export_type>/
actionusers.index_view                               GET, HEAD, OPTIONS             /admin/actionusers/
admin.index                                          GET, HEAD, OPTIONS             /admin/
admin.static                                         GET, HEAD, OPTIONS             /admin/static/<path:filename>
authors.add                                          GET, HEAD, OPTIONS             /admin/authors/add
authors.edit                                         GET, HEAD, OPTIONS             /admin/authors/edit
authors.index                                        GET, HEAD, OPTIONS             /admin/authors/
authors/export.cancel                                OPTIONS, POST                  /admin/authors/export/cancel
authors/export.check_status                          GET, HEAD, OPTIONS             /admin/authors/export/check_status
authors/export.download                              GET, HEAD, OPTIONS             /admin/authors/export/download/Creator_export_all
authors/export.export                                OPTIONS, POST                  /admin/authors/export/export
authors/export.index                                 GET, HEAD, OPTIONS             /admin/authors/export/
authors/import.check_import_file                     OPTIONS, POST                  /admin/authors/import/check_import_file
authors/import.check_import_status                   OPTIONS, POST                  /admin/authors/import/check_import_status
authors/import.import_authors                        OPTIONS, POST                  /admin/authors/import/import
authors/import.index                                 GET, HEAD, OPTIONS             /admin/authors/import/
authors/import.is_import_available                   GET, HEAD, OPTIONS             /admin/authors/import/is_import_available
bucket.action_view                                   OPTIONS, POST                  /admin/bucket/action/
bucket.ajax_lookup                                   GET, HEAD, OPTIONS             /admin/bucket/ajax/lookup/
bucket.ajax_update                                   OPTIONS, POST                  /admin/bucket/ajax/update/
bucket.create_view                                   GET, HEAD, OPTIONS, POST       /admin/bucket/new/
bucket.delete_view                                   OPTIONS, POST                  /admin/bucket/delete/
bucket.details_view                                  GET, HEAD, OPTIONS             /admin/bucket/details/
bucket.edit_view                                     GET, HEAD, OPTIONS, POST       /admin/bucket/edit/
bucket.export                                        GET, HEAD, OPTIONS             /admin/bucket/export/<export_type>/
bucket.index_view                                    GET, HEAD, OPTIONS             /admin/bucket/
change_list.create                                   OPTIONS, POST                  /admin/change_list/create
change_list.delete                                   OPTIONS, POST                  /admin/change_list/delete/<repo_id>
change_list.get_change_list                          GET, HEAD, OPTIONS             /admin/change_list/get_change_list/<repo_id>
change_list.get_list                                 GET, HEAD, OPTIONS             /admin/change_list/get_all
change_list.index                                    GET, HEAD, OPTIONS             /admin/change_list/
change_list.update                                   OPTIONS, POST                  /admin/change_list/update/<repo_id>
client.action_view                                   OPTIONS, POST                  /admin/client/action/
client.ajax_lookup                                   GET, HEAD, OPTIONS             /admin/client/ajax/lookup/
client.ajax_update                                   OPTIONS, POST                  /admin/client/ajax/update/
client.create_view                                   GET, HEAD, OPTIONS, POST       /admin/client/new/
client.delete_view                                   OPTIONS, POST                  /admin/client/delete/
client.details_view                                  GET, HEAD, OPTIONS             /admin/client/details/
client.edit_view                                     GET, HEAD, OPTIONS, POST       /admin/client/edit/
client.export                                        GET, HEAD, OPTIONS             /admin/client/export/<export_type>/
client.index_view                                    GET, HEAD, OPTIONS             /admin/client/
community.action_view                                OPTIONS, POST                  /admin/community/action/
community.ajax_lookup                                GET, HEAD, OPTIONS             /admin/community/ajax/lookup/
community.ajax_update                                OPTIONS, POST                  /admin/community/ajax/update/
community.create_view                                GET, HEAD, OPTIONS, POST       /admin/community/new/
community.delete_view                                OPTIONS, POST                  /admin/community/delete/
community.details_view                               GET, HEAD, OPTIONS             /admin/community/details/
community.edit_view                                  GET, HEAD, OPTIONS, POST       /admin/community/edit/
community.export                                     GET, HEAD, OPTIONS             /admin/community/export/<export_type>/
community.index_view                                 GET, HEAD, OPTIONS             /admin/community/
debugtoolbar.save_template                           OPTIONS, POST                  /_debug_toolbar/views/template/<key>/save
debugtoolbar.sql_select                              GET, HEAD, OPTIONS, POST       /_debug_toolbar/views/sqlalchemy/sql_select
debugtoolbar.sql_select                              GET, HEAD, OPTIONS, POST       /_debug_toolbar/views/sqlalchemy/sql_explain
debugtoolbar.template_editor                         GET, HEAD, OPTIONS             /_debug_toolbar/views/template/<key>
debugtoolbar.template_preview                        OPTIONS, POST                  /_debug_toolbar/views/template/<key>
facet-search.action_view                             OPTIONS, POST                  /admin/facet-search/action/
